Random,Ascending,Descending,V-shaped
1,1,1,1
22,23,20,20
46,46,40,42
67,68,62,62
93,93,85,85
121,118,108,109
145,146,131,133
175,174,159,158
199,198,182,183
228,226,208,207
260,255,234,234
287,280,257,259
319,310,283,288
346,333,310,312
382,364,338,337
411,399,361,371
445,419,392,396
478,446,413,418
513,481,444,447
541,506,464,472
581,535,495,504
