Random,Ascending,Descending,V-shaped
1,1,1,1
6,5,5,5
11,9,10,10
16,14,16,14
21,18,19,19
26,23,24,24
32,28,30,28
37,32,34,33
45,37,39,37
49,41,43,42
53,48,48,49
59,50,54,53
67,57,58,58
70,61,62,62
77,65,69,67
81,70,73,71
87,75,78,77
92,79,82,81
99,85,88,88
104,90,93,92
112,95,99,99
117,99,104,102
123,105,110,107
129,109,115,112
135,115,119,118
140,119,124,123
148,125,131,130
160,129,135,138
161,141,140,139
172,142,153,144
171,154,154,153
178,151,166,155
187,157,163,160
